Origin,Destination,Distance,Data_Source
DFW,DCA,1192.0,August2024.csv
DFW,SFO,1464.0,August2024.csv
DFW,JFK,1391.0,August2024.csv
DFW,PHL,1303.0,August2024.csv
DFW,SLC,989.0,August2024.csv
DFW,MIA,1121.0,August2024.csv
DFW,BNA,631.0,August2024.csv
DFW,BWI,1217.0,August2024.csv
DFW,SAN,1171.0,August2024.csv
DFW,FLL,1119.0,August2024.csv
DFW,AUS,190.0,August2024.csv
DFW,MDW,797.0,August2024.csv
DFW,IAD,1172.0,August2024.csv
DFW,TPA,929.0,August2024.csv
DEN,CLT,1337.0,August2024.csv
DEN,LAX,862.0,August2024.csv
DEN,SEA,1024.0,August2024.csv
DEN,LAS,628.0,August2024.csv
DEN,PHX,602.0,August2024.csv
DEN,IAH,862.0,August2024.csv
DEN,MCO,1546.0,August2024.csv
DEN,LGA,1620.0,August2024.csv
DEN,EWR,1605.0,August2024.csv
DEN,BOS,1754.0,August2024.csv
DEN,DTW,1123.0,August2024.csv
DEN,MSP,680.0,August2024.csv
DEN,DCA,1476.0,August2024.csv
DEN,SFO,967.0,August2024.csv
DEN,JFK,1626.0,August2024.csv
DEN,PHL,1558.0,August2024.csv
DEN,SLC,391.0,August2024.csv
DEN,MIA,1709.0,August2024.csv
DEN,BNA,1014.0,August2024.csv
DEN,BWI,1491.0,August2024.csv
DEN,SAN,853.0,August2024.csv
DEN,FLL,1703.0,August2024.csv
DEN,AUS,775.0,August2024.csv
DEN,MDW,895.0,August2024.csv
DEN,IAD,1452.0,August2024.csv
DEN,TPA,1506.0,August2024.csv
CLT,LAX,2125.0,August2024.csv
CLT,SEA,2279.0,August2024.csv
CLT,LAS,1916.0,August2024.csv
CLT,PHX,1773.0,August2024.csv
CLT,IAH,912.0,August2024.csv
CLT,MCO,468.0,August2024.csv
CLT,LGA,544.0,August2024.csv
CLT,EWR,529.0,August2024.csv
CLT,BOS,728.0,August2024.csv
CLT,DTW,500.0,August2024.csv
CLT,MSP,930.0,August2024.csv
CLT,DCA,331.0,August2024.csv
CLT,SFO,2296.0,August2024.csv
CLT,JFK,541.0,August2024.csv
CLT,PHL,449.0,August2024.csv
CLT,SLC,1727.0,August2024.csv
CLT,MIA,650.0,August2024.csv
CLT,BNA,328.0,August2024.csv
CLT,BWI,361.0,August2024.csv
CLT,SAN,2077.0,August2024.csv
CLT,FLL,632.0,August2024.csv
CLT,AUS,1032.0,August2024.csv
CLT,MDW,584.0,August2024.csv
CLT,IAD,322.0,August2024.csv
CLT,TPA,507.0,August2024.csv
LAX,SEA,954.0,August2024.csv
LAX,LAS,236.0,August2024.csv
LAX,PHX,370.0,August2024.csv
LAX,IAH,1379.0,August2024.csv
LAX,MCO,2218.0,August2024.csv
LAX,LGA,2469.0,June2022.csv
LAX,EWR,2454.0,August2024.csv
LAX,BOS,2611.0,August2024.csv
LAX,DTW,1979.0,August2024.csv
LAX,MSP,1535.0,August2024.csv
LAX,DCA,2311.0,August2024.csv
LAX,SFO,337.0,August2024.csv
LAX,JFK,2475.0,August2024.csv
LAX,PHL,2402.0,August2024.csv
LAX,SLC,590.0,August2024.csv
LAX,MIA,2342.0,August2024.csv
LAX,BNA,1797.0,August2024.csv
LAX,BWI,2329.0,August2024.csv
LAX,SAN,109.0,August2024.csv
LAX,FLL,2343.0,August2024.csv
LAX,AUS,1242.0,August2024.csv
LAX,MDW,1750.0,August2024.csv
LAX,IAD,2288.0,August2024.csv
LAX,TPA,2158.0,August2024.csv
SEA,LAS,867.0,August2024.csv
SEA,PHX,1107.0,August2024.csv
SEA,IAH,1874.0,August2024.csv
SEA,MCO,2554.0,August2024.csv
SEA,LGA,,Not Found
SEA,EWR,2402.0,August2024.csv
SEA,BOS,2496.0,August2024.csv
SEA,DTW,1927.0,August2024.csv
SEA,MSP,1399.0,August2024.csv
SEA,DCA,2329.0,August2024.csv
SEA,SFO,679.0,August2024.csv
SEA,JFK,2422.0,August2024.csv
SEA,PHL,2378.0,August2024.csv
SEA,SLC,689.0,August2024.csv
SEA,MIA,2724.0,August2024.csv
SEA,BNA,1978.0,August2024.csv
SEA,BWI,2335.0,August2024.csv
SEA,SAN,1050.0,August2024.csv
SEA,FLL,2717.0,August2024.csv
SEA,AUS,1770.0,August2024.csv
SEA,MDW,1733.0,August2024.csv
SEA,IAD,2306.0,August2024.csv
SEA,TPA,2520.0,August2024.csv
LAS,PHX,255.0,August2024.csv
LAS,IAH,1222.0,August2024.csv
LAS,MCO,2039.0,August2024.csv
LAS,LGA,,Not Found
LAS,EWR,2227.0,August2024.csv
LAS,BOS,2381.0,August2024.csv
LAS,DTW,1749.0,August2024.csv
LAS,MSP,1299.0,August2024.csv
LAS,DCA,2089.0,August2024.csv
LAS,SFO,414.0,August2024.csv
LAS,JFK,2248.0,August2024.csv
LAS,PHL,2176.0,August2024.csv
LAS,SLC,368.0,August2024.csv
LAS,MIA,2174.0,August2024.csv
LAS,BNA,1587.0,August2024.csv
LAS,BWI,2106.0,August2024.csv
LAS,SAN,258.0,August2024.csv
LAS,FLL,2173.0,August2024.csv
LAS,AUS,1090.0,August2024.csv
LAS,MDW,1521.0,August2024.csv
LAS,IAD,2065.0,August2024.csv
LAS,TPA,1984.0,August2024.csv
PHX,IAH,1009.0,August2024.csv
PHX,MCO,1849.0,August2024.csv
PHX,LGA,,Not Found
PHX,EWR,2133.0,August2024.csv
PHX,BOS,2300.0,August2024.csv
PHX,DTW,1671.0,August2024.csv
PHX,MSP,1276.0,August2024.csv
PHX,DCA,1979.0,August2024.csv
PHX,SFO,651.0,August2024.csv
PHX,JFK,2153.0,August2024.csv
PHX,PHL,2075.0,August2024.csv
PHX,SLC,507.0,August2024.csv
PHX,MIA,1972.0,August2024.csv
PHX,BNA,1449.0,August2024.csv
PHX,BWI,1999.0,August2024.csv
PHX,SAN,304.0,August2024.csv
PHX,FLL,1972.0,August2024.csv
PHX,AUS,872.0,August2024.csv
PHX,MDW,1444.0,August2024.csv
PHX,IAD,1956.0,August2024.csv
PHX,TPA,1788.0,August2024.csv
IAH,MCO,854.0,August2024.csv
IAH,LGA,1416.0,August2024.csv
IAH,EWR,1400.0,August2024.csv
IAH,BOS,1597.0,August2024.csv
IAH,DTW,1075.0,August2024.csv
IAH,MSP,1034.0,August2024.csv
IAH,DCA,1208.0,August2024.csv
IAH,SFO,1635.0,August2024.csv
IAH,JFK,1417.0,August2024.csv
IAH,PHL,1325.0,August2024.csv
IAH,SLC,1195.0,August2024.csv
IAH,MIA,964.0,August2024.csv
IAH,BNA,657.0,August2024.csv
IAH,BWI,1235.0,August2024.csv
IAH,SAN,1303.0,August2024.csv
IAH,FLL,966.0,August2024.csv
IAH,AUS,140.0,August2024.csv
IAH,MDW,917.0,August2024.csv
IAH,IAD,1190.0,August2024.csv
IAH,TPA,787.0,August2024.csv
MCO,LGA,950.0,August2024.csv
MCO,EWR,937.0,August2024.csv
MCO,BOS,1121.0,August2024.csv
MCO,DTW,957.0,August2024.csv
MCO,MSP,1310.0,August2024.csv
MCO,DCA,759.0,August2024.csv
MCO,SFO,2446.0,August2024.csv
MCO,JFK,944.0,August2024.csv
MCO,PHL,861.0,August2024.csv
MCO,SLC,1931.0,August2024.csv
MCO,MIA,192.0,August2024.csv
MCO,BNA,616.0,August2024.csv
MCO,BWI,787.0,August2024.csv
MCO,SAN,2149.0,August2024.csv
MCO,FLL,177.0,August2024.csv
MCO,AUS,994.0,August2024.csv
MCO,MDW,990.0,August2024.csv
MCO,IAD,758.0,August2024.csv
MCO,TPA,81.0,June2023.csv
LGA,EWR,,Not Found
LGA,BOS,184.0,August2024.csv
LGA,DTW,502.0,August2024.csv
LGA,MSP,1020.0,August2024.csv
LGA,DCA,214.0,August2024.csv
LGA,SFO,,Not Found
LGA,JFK,11.0,July2024.csv
LGA,PHL,96.0,August2024.csv
LGA,SLC,1983.0,August2023.csv
LGA,MIA,1096.0,August2024.csv
LGA,BNA,764.0,August2024.csv
LGA,BWI,185.0,August2024.csv
LGA,SAN,,Not Found
LGA,FLL,1076.0,August2024.csv
LGA,AUS,,Not Found
LGA,MDW,725.0,August2024.csv
LGA,IAD,229.0,August2024.csv
LGA,TPA,1010.0,August2024.csv
EWR,BOS,200.0,August2024.csv
EWR,DTW,488.0,August2024.csv
EWR,MSP,1008.0,August2024.csv
EWR,DCA,199.0,August2024.csv
EWR,SFO,2565.0,August2024.csv
EWR,JFK,,Not Found
EWR,PHL,80.0,June2024.csv
EWR,SLC,1969.0,August2024.csv
EWR,MIA,1085.0,August2024.csv
EWR,BNA,748.0,August2024.csv
EWR,BWI,,Not Found
EWR,SAN,2425.0,August2024.csv
EWR,FLL,1065.0,August2024.csv
EWR,AUS,1504.0,August2024.csv
EWR,MDW,,Not Found
EWR,IAD,212.0,August2024.csv
EWR,TPA,997.0,August2024.csv
BOS,DTW,632.0,August2024.csv
BOS,MSP,1124.0,August2024.csv
BOS,DCA,399.0,August2024.csv
BOS,SFO,2704.0,August2024.csv
BOS,JFK,187.0,August2024.csv
BOS,PHL,280.0,August2024.csv
BOS,SLC,2105.0,August2024.csv
BOS,MIA,1258.0,August2024.csv
BOS,BNA,942.0,August2024.csv
BOS,BWI,369.0,August2024.csv
BOS,SAN,2588.0,August2024.csv
BOS,FLL,1237.0,August2024.csv
BOS,AUS,1698.0,August2024.csv
BOS,MDW,861.0,August2024.csv
BOS,IAD,413.0,August2024.csv
BOS,TPA,1185.0,August2024.csv
DTW,MSP,528.0,August2024.csv
DTW,DCA,405.0,August2024.csv
DTW,SFO,2079.0,August2024.csv
DTW,JFK,509.0,August2024.csv
DTW,PHL,453.0,August2024.csv
DTW,SLC,1481.0,August2024.csv
DTW,MIA,1145.0,August2024.csv
DTW,BNA,456.0,August2024.csv
DTW,BWI,409.0,August2024.csv
DTW,SAN,1956.0,August2024.csv
DTW,FLL,1127.0,August2024.csv
DTW,AUS,1149.0,August2024.csv
DTW,MDW,228.0,August2024.csv
DTW,IAD,383.0,August2024.csv
DTW,TPA,983.0,August2024.csv
MSP,DCA,931.0,August2024.csv
MSP,SFO,1589.0,August2024.csv
MSP,JFK,1029.0,August2024.csv
MSP,PHL,980.0,August2024.csv
MSP,SLC,991.0,August2024.csv
MSP,MIA,1501.0,August2024.csv
MSP,BNA,695.0,August2024.csv
MSP,BWI,936.0,August2024.csv
MSP,SAN,1532.0,August2024.csv
MSP,FLL,1487.0,August2024.csv
MSP,AUS,1042.0,August2024.csv
MSP,MDW,349.0,August2024.csv
MSP,IAD,908.0,August2024.csv
MSP,TPA,1306.0,August2024.csv
DCA,SFO,2442.0,August2024.csv
DCA,JFK,213.0,August2024.csv
DCA,PHL,119.0,August2024.csv
DCA,SLC,1851.0,August2024.csv
DCA,MIA,919.0,August2024.csv
DCA,BNA,562.0,August2024.csv
DCA,BWI,,Not Found
DCA,SAN,,Not Found
DCA,FLL,899.0,August2024.csv
DCA,AUS,1315.0,August2024.csv
DCA,MDW,601.0,August2024.csv
DCA,IAD,,Not Found
DCA,TPA,814.0,August2024.csv
SFO,JFK,2586.0,August2024.csv
SFO,PHL,2521.0,August2024.csv
SFO,SLC,599.0,August2024.csv
SFO,MIA,2585.0,August2024.csv
SFO,BNA,1969.0,August2024.csv
SFO,BWI,2457.0,August2024.csv
SFO,SAN,447.0,August2024.csv
SFO,FLL,2584.0,August2024.csv
SFO,AUS,1504.0,August2024.csv
SFO,MDW,1855.0,August2024.csv
SFO,IAD,2419.0,August2024.csv
SFO,TPA,2393.0,August2024.csv
JFK,PHL,,Not Found
JFK,SLC,1990.0,August2024.csv
JFK,MIA,1089.0,August2024.csv
JFK,BNA,765.0,August2024.csv
JFK,BWI,184.0,August2024.csv
JFK,SAN,2446.0,August2024.csv
JFK,FLL,1069.0,August2024.csv
JFK,AUS,1521.0,August2024.csv
JFK,MDW,,Not Found
JFK,IAD,228.0,August2024.csv
JFK,TPA,1005.0,August2024.csv
PHL,SLC,1927.0,August2024.csv
PHL,MIA,1013.0,August2024.csv
PHL,BNA,675.0,August2024.csv
PHL,BWI,90.0,July2024.csv
PHL,SAN,2370.0,August2024.csv
PHL,FLL,992.0,August2024.csv
PHL,AUS,1430.0,August2024.csv
PHL,MDW,668.0,August2024.csv
PHL,IAD,135.0,August2024.csv
PHL,TPA,920.0,August2024.csv
SLC,MIA,2088.0,August2024.csv
SLC,BNA,1404.0,August2024.csv
SLC,BWI,1865.0,August2024.csv
SLC,SAN,626.0,August2024.csv
SLC,FLL,2084.0,August2024.csv
SLC,AUS,1086.0,August2024.csv
SLC,MDW,1259.0,August2024.csv
SLC,IAD,1828.0,August2024.csv
SLC,TPA,1888.0,August2024.csv
MIA,BNA,806.0,August2024.csv
MIA,BWI,946.0,August2024.csv
MIA,SAN,2267.0,August2024.csv
MIA,FLL,,Not Found
MIA,AUS,1103.0,August2024.csv
MIA,MDW,1182.0,August2024.csv
MIA,IAD,921.0,August2024.csv
MIA,TPA,204.0,August2024.csv
BNA,BWI,587.0,August2024.csv
BNA,SAN,1751.0,August2024.csv
BNA,FLL,793.0,August2024.csv
BNA,AUS,756.0,August2024.csv
BNA,MDW,395.0,August2024.csv
BNA,IAD,542.0,August2024.csv
BNA,TPA,612.0,August2024.csv
BWI,SAN,2295.0,August2024.csv
BWI,FLL,925.0,August2024.csv
BWI,AUS,1342.0,August2024.csv
BWI,MDW,611.0,August2024.csv
BWI,IAD,,Not Found
BWI,TPA,842.0,August2024.csv
SAN,FLL,2269.0,August2024.csv
SAN,AUS,1164.0,August2024.csv
SAN,MDW,1728.0,August2024.csv
SAN,IAD,2253.0,August2024.csv
SAN,TPA,2087.0,August2024.csv
FLL,AUS,1105.0,August2024.csv
FLL,MDW,1167.0,August2024.csv
FLL,IAD,901.0,August2024.csv
FLL,TPA,197.0,August2024.csv
AUS,MDW,972.0,August2024.csv
AUS,IAD,1297.0,August2024.csv
AUS,TPA,928.0,August2024.csv
MDW,IAD,577.0,August2023.csv
MDW,TPA,997.0,August2024.csv
IAD,TPA,811.0,August2024.csv
